,a_District,a_type,a_hour,a_weat
318,21,2,14,1
319,29,2,11,1
320,29,2,15,1
321,7,2,20,1
322,30,2,8,1
323,30,2,15,1
324,0,2,14,1
325,29,2,17,1
326,2,2,9,1
327,7,2,22,1
328,29,2,17,1
329,14,2,2,2
330,2,2,18,1
331,7,2,16,1
332,29,2,15,1
333,24,2,23,2
334,7,1,4,1
335,2,2,23,4
336,7,2,20,1
337,21,2,8,1
338,29,2,18,1
339,7,2,22,2
340,32,1,9,4
341,36,2,14,2
342,2,2,17,1
343,5,2,22,2
344,30,2,0,1
345,29,2,11,2
346,2,2,8,1
347,7,2,10,1
348,7,2,16,1
349,0,2,15,2
350,30,1,20,1
351,32,2,12,2
352,7,2,17,2
353,36,2,21,10
354,32,2,6,2
355,36,2,16,1
356,36,2,13,1
357,32,2,18,1
358,7,2,12,1
359,5,2,14,1
360,5,2,11,10
361,14,2,11,1
362,30,2,12,1
363,7,2,16,1
364,32,1,14,10
365,2,2,2,1
366,2,2,15,1
367,21,2,16,1
368,21,2,19,1
369,36,2,22,4
370,36,1,14,1
371,7,2,16,9
372,29,2,15,1
373,7,2,16,1
374,7,2,1,1
375,30,2,2,1
376,36,2,11,1
377,7,2,13,1
378,36,2,15,1
379,29,2,17,1
380,0,2,12,1
381,7,2,12,10
382,36,2,13,1
383,7,2,15,1
384,0,2,11,1
385,5,2,16,1
386,36,2,20,1
387,36,1,10,1
388,2,2,13,1
389,0,2,17,1
390,0,2,9,1
391,2,2,5,1
392,30,1,13,1
393,36,2,13,1
394,32,2,21,1
395,30,2,21,1
396,5,2,15,1
397,21,2,17,1
398,24,2,15,1
399,7,2,18,1
400,14,2,11,1
401,36,2,13,1
402,14,2,17,7
403,7,2,19,1
404,2,1,17,2
405,24,2,17,10
406,7,2,22,1
407,7,2,8,1
408,7,2,16,1
409,5,2,17,1
410,7,2,6,2
411,2,2,8,1
412,21,2,10,1
413,14,2,10,1
414,32,2,12,1
415,32,2,12,1
416,2,2,18,9
417,14,1,0,1
418,29,2,16,1
419,24,2,4,2
420,7,2,19,1
421,32,2,19,10
422,0,2,13,1
423,5,2,8,1
424,29,2,22,1
425,7,2,15,1
426,24,2,21,9
427,2,2,15,1
428,36,1,3,1
429,29,2,12,1
430,29,2,20,1
431,7,2,23,1
432,36,2,17,1
433,32,1,23,1
434,5,2,16,1
435,29,2,17,1
436,2,2,14,1
437,5,2,15,1
438,30,1,17,1
439,30,2,22,1
440,7,2,6,5
441,30,2,20,10
442,32,2,3,1
443,2,2,10,1
444,7,2,15,1
445,36,1,23,1
446,24,2,17,2
447,32,2,3,10
448,14,2,10,1
449,30,2,18,1
450,5,2,19,1
451,24,2,17,1
452,2,1,4,1
453,2,2,9,1
454,32,2,2,1
455,24,2,22,1
456,7,2,23,7
457,21,2,16,1
458,0,2,16,1
459,32,1,18,1
460,24,2,21,1
461,7,2,17,1
462,0,2,18,1
463,7,2,21,1
464,2,2,15,1
465,14,2,2,1
466,21,2,5,1
467,5,2,17,1
468,2,2,21,1
469,30,1,17,1
470,29,2,8,7
471,29,2,9,10
472,21,2,2,9
473,5,2,13,1
474,14,2,13,10
475,30,2,20,1
476,7,2,20,1
477,36,2,14,1
478,29,2,18,1
479,0,2,9,1
480,7,2,9,10
481,36,1,11,10
482,30,2,13,1
483,30,2,8,7
484,14,2,10,1
485,30,2,15,1
486,5,2,19,2
487,29,2,8,1
488,32,2,15,10
489,5,2,14,1
490,32,2,14,1
491,32,2,11,1
492,24,1,22,1
493,24,2,14,1
494,0,2,8,1
495,30,2,9,1
496,5,2,8,8
497,29,2,15,1
498,14,2,10,10
499,36,2,11,1
500,36,2,13,1
501,7,2,19,2
502,32,2,21,10
503,7,2,7,1
504,0,1,19,5
505,7,2,21,5
506,14,2,13,1
507,7,2,16,1
508,5,2,18,1
509,29,2,6,1
510,0,2,18,2
511,21,2,20,2
512,5,2,21,1
513,5,2,12,1
514,29,2,1,1
515,2,2,10,1
516,2,2,23,9
517,0,2,15,10
518,29,2,12,1
519,14,1,13,1
520,7,1,23,1
521,5,2,17,1
522,2,2,8,1
523,7,2,15,1
524,32,2,19,1
525,2,1,18,7
526,36,2,13,1
527,5,2,15,1
528,36,2,20,9
529,2,2,18,1
530,21,2,3,1
531,29,2,11,2
532,2,2,19,1
533,5,2,7,4
534,14,2,11,1
535,29,2,16,2
536,30,2,7,1
537,21,2,20,1
538,2,2,7,1
539,14,1,7,4
540,36,2,17,5
541,5,2,19,1
542,7,2,8,1
543,2,2,12,1
544,2,2,12,1
545,21,2,17,1
546,5,2,3,2
547,32,1,9,1
548,32,2,16,1
549,2,2,18,2
550,7,2,17,5
551,14,2,20,5
552,14,2,22,2
553,2,2,9,8
554,36,2,13,1
555,36,2,6,4
556,36,2,17,2
557,7,2,17,6
558,2,2,23,5
559,14,2,12,1
560,2,2,18,1
561,7,2,11,1
562,7,2,17,2
563,14,2,12,2
564,0,2,14,1
565,14,2,15,2
566,2,1,21,5
567,29,2,18,9
568,0,2,12,1
569,7,2,20,2
570,30,2,23,2
571,2,2,13,2
572,21,2,19,1
573,29,2,21,1
574,14,2,15,2
575,2,2,11,4
576,30,2,15,1
577,2,2,20,2
578,36,2,21,1
579,7,2,20,9
580,36,1,17,4
581,29,2,16,1
582,5,1,10,2
583,14,1,6,1
584,30,2,7,1
585,7,2,9,10
586,30,2,14,10
587,36,2,14,5
588,14,2,5,2
589,29,2,19,5
590,29,2,20,5
591,2,2,15,1
592,7,2,22,1
593,7,2,9,10
594,14,2,17,9
595,14,2,7,9
596,0,2,12,1
597,14,2,17,2
598,30,2,22,10
599,30,2,7,5
600,7,2,17,2
601,0,2,17,2
602,32,2,19,2
603,32,2,1,1
604,29,1,19,1
605,5,2,1,1
606,24,1,12,1
607,7,2,13,1
608,36,2,15,1
609,14,2,17,1
610,32,1,18,2
611,2,2,13,2
612,5,2,14,1
613,7,2,17,1
614,5,2,19,2
615,0,1,2,4
616,36,2,3,1
617,24,1,13,9
618,21,2,3,9
619,36,2,8,5
620,30,2,15,1
621,2,2,16,1
622,0,2,2,5
623,2,2,6,1
624,14,2,12,8
625,7,2,13,1
626,7,2,20,10
627,14,2,17,2
628,0,2,18,5
629,7,2,16,2
630,7,1,19,1
631,36,2,0,5
632,0,2,7,1
633,2,2,17,2
634,0,1,18,4
635,7,2,1,1
636,29,2,11,1
637,7,2,2,2
638,2,2,7,2
639,23,2,0,2
640,9,2,18,1
641,34,2,12,4
642,39,1,16,1
643,15,2,17,4
644,23,1,2,1
645,25,2,3,10
646,23,2,9,1
647,31,2,11,2
648,39,1,10,1
649,9,2,14,1
650,37,2,17,1
651,26,2,10,1
652,8,2,11,10
653,28,1,8,2
654,16,2,17,9
655,37,1,17,1
656,34,2,10,10
657,4,2,6,9
658,22,1,6,1
659,22,2,17,1
660,11,2,19,1
661,3,2,17,10
662,37,1,17,1
663,4,2,7,2
664,37,2,20,2
665,37,1,18,1
666,1,2,22,9
667,38,2,3,1
668,27,2,8,10
669,38,2,14,2
670,37,2,3,1
671,4,2,5,1
672,4,2,16,1
673,19,2,20,1
674,25,2,8,1
675,25,2,15,8
676,28,2,17,1
677,10,2,18,2
678,18,2,19,2
679,22,2,19,9
680,27,2,14,1
681,16,2,14,8
682,1,2,15,2
683,11,2,15,10
684,13,2,7,2
685,26,2,21,1
686,37,2,1,10
687,26,2,11,1
688,6,2,9,1
689,38,2,13,10
690,18,2,11,1
691,22,2,19,2
692,28,2,9,2
693,34,2,14,9
694,20,2,17,1
695,10,2,10,1
696,18,2,11,1
697,34,2,7,2
698,38,2,7,5
699,31,2,22,2
700,3,2,6,4
701,31,2,15,5
702,17,2,2,10
703,17,2,6,1
704,10,2,20,1
705,25,2,12,2
706,28,2,13,1
707,9,2,16,10
708,9,2,15,1
709,20,1,10,1
710,18,2,15,1
711,28,2,17,1
712,3,2,20,5
713,20,2,18,10
714,12,2,19,10
715,25,2,8,9
716,6,2,10,1
717,35,2,18,5
718,22,2,17,1
719,3,2,12,10
720,13,2,14,3
721,22,2,15,5
722,23,2,2,1
723,25,2,13,1
724,4,2,7,1
725,9,2,12,1
726,8,2,21,1
727,4,2,7,1
728,16,2,16,2
729,31,2,11,1
730,39,2,12,1
731,28,2,15,1
732,27,2,14,1
733,28,2,21,9
734,16,2,9,1
735,22,2,14,1
736,37,2,14,1
737,28,2,16,2
738,10,2,20,2
739,3,2,20,5
740,25,2,15,1
741,39,2,15,1
742,8,2,19,1
743,12,2,17,1
744,11,2,19,1
745,25,1,11,1
746,31,2,2,9
747,6,2,12,2
748,28,2,12,9
749,39,2,15,1
750,37,2,18,1
751,25,2,10,1
752,34,2,15,1
753,10,2,19,2
754,10,2,12,1
755,10,2,11,1
756,37,2,10,1
757,25,2,13,2
758,16,2,14,1
759,19,2,14,1
760,39,2,7,1
761,23,2,18,1
762,22,2,0,1
763,22,2,7,1
764,23,2,2,1
765,4,2,11,1
766,34,2,15,1
767,38,2,4,10
768,16,1,19,1
769,25,2,1,2
770,27,1,14,1
771,28,2,15,1
772,39,2,16,1
773,6,1,7,5
774,15,2,5,1
775,19,2,10,1
776,31,2,16,1
777,39,2,21,2
778,23,2,2,1
779,18,2,13,1
780,17,2,13,1
781,38,2,14,1
782,28,1,15,1
783,22,2,18,1
784,19,2,11,2
785,9,2,16,1
786,17,1,3,1
787,37,2,9,1
788,26,2,12,1
789,18,2,15,1
790,22,2,19,1
791,3,2,20,2
792,1,2,0,2
793,16,1,8,1
794,6,2,13,1
795,35,2,15,1
796,19,2,17,10
797,11,2,9,1
798,4,2,22,2
799,27,2,23,1
800,20,2,13,1
801,15,2,15,1
802,11,2,19,10
803,16,2,20,1
804,8,2,7,1
805,8,2,14,1
806,1,2,14,1
807,6,2,18,1
808,26,2,21,10
809,1,1,8,1
810,9,2,15,1
811,3,2,0,1
812,16,2,13,1
813,35,2,20,1
814,6,2,20,1
815,23,1,20,1
816,27,1,12,1
817,37,2,13,1
818,16,2,16,1
819,6,2,18,1
820,23,2,9,1
821,35,2,12,10
822,28,2,17,1
823,11,2,18,1
824,33,2,17,1
825,9,2,16,1
826,22,2,17,1
827,18,1,2,1
828,37,2,2,1
829,6,2,15,10
830,6,1,17,1
831,17,2,12,1
832,25,2,15,1
833,34,2,17,1
834,1,2,10,1
835,10,2,19,10
836,25,2,5,1
837,37,2,8,2
838,3,2,18,1
839,37,2,16,1
840,16,2,23,1
841,25,2,5,1
842,6,1,12,1
843,28,2,15,2
844,18,2,16,1
845,38,1,17,1
846,10,2,17,1
847,1,2,9,1
848,25,2,23,2
849,4,2,15,2
850,22,2,1,1
851,13,2,17,1
852,16,2,1,1
853,10,2,7,1
854,22,2,8,1
855,28,2,18,1
856,17,2,21,1
857,15,2,8,1
858,1,2,8,1
859,34,2,14,1
860,37,2,15,1
861,18,2,11,1
862,28,2,14,1
863,34,2,19,1
864,37,2,13,2
865,12,2,13,2
866,39,2,9,1
867,18,2,9,1
868,20,2,16,10
869,10,2,17,1
870,28,2,0,1
871,9,2,18,1
872,22,2,21,1
873,38,2,0,10
874,19,2,8,5
875,22,2,13,1
876,17,2,8,1
877,13,2,10,1
878,9,2,14,1
879,22,2,9,2
880,18,2,9,1
881,20,2,20,10
882,27,2,16,10
883,13,2,17,10
884,3,2,19,1
885,33,1,10,1
886,18,2,11,1
887,22,2,19,1
888,31,1,20,1
889,16,2,19,1
890,16,2,13,1
891,13,2,21,1
892,12,2,5,1
893,3,1,14,1
894,37,1,15,10
895,28,2,7,1
896,10,2,7,1
897,4,2,19,1
898,28,2,22,1
899,12,2,17,10
900,10,2,17,1
901,16,2,18,1
902,39,2,19,1
903,16,2,10,1
904,4,2,16,2
905,23,1,23,1
906,37,2,9,1
907,28,2,13,1
908,31,2,10,10
909,17,2,21,1
910,3,2,8,1
911,9,1,9,1
912,37,2,15,10
913,37,1,14,1
914,31,2,17,10
915,9,2,18,1
916,39,2,15,2
917,23,2,20,9
918,19,2,2,1
919,26,2,1,1
920,22,2,11,1
921,17,2,14,1
922,22,2,17,8
923,10,2,8,1
924,4,2,13,1
925,18,2,2,1
926,37,2,3,1
927,8,2,8,1
928,9,2,9,1
929,20,2,9,9
930,35,2,13,1
931,10,2,14,1
932,34,2,19,10
933,3,2,21,1
934,9,2,21,1
935,18,2,18,1
936,11,1,8,1
937,37,2,17,1
938,10,2,13,1
939,12,2,15,1
940,37,2,16,1
941,15,2,20,1
